BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Bugs
15,4,11,8,5,1,32,43.42,14.61,9265.54,0.21,120,0.07,514.75,42,78,23,16,36,1
1,0,2,1,1,1,7,14.47,10,1446.79,0.05,38,0.1,80.38,8,30,4,10,7,0
3,0,2,2,2,1,10,17.77,9,1439.2,0.05,37,0.11,79.96,12,25,8,12,10,0
3,0,6,2,2,1,10,18.25,9,1478.1,0.05,38,0.11,82.12,12,26,8,12,10,0
1,0,0,1,1,1,4,8.54,4.67,186.03,0.01,12,0.21,10.33,4,8,3,7,4,0
1,0,3,1,1,1,8,21.89,4,350.28,0.03,23,0.25,19.46,8,15,7,7,8,0
3,9,5,2,2,1,10,33.28,9.97,3306.02,0.11,69,0.1,183.67,23,46,15,13,19,1
1,0,1,1,1,1,6,16.3,4.08,271.98,0.02,18,0.24,15.11,7,11,6,7,6,0
1,0,1,1,1,1,7,18.52,6.75,843.89,0.04,32,0.15,46.88,9,23,6,9,7,0
5,1,1,3,1,3,17,20.8,13.72,3916.37,0.1,64,0.07,217.58,19,45,9,13,18,0
1,1,2,1,1,1,2,11.62,3,104.61,0.01,11,0.33,5.81,3,8,3,6,3,1
3,1,1,2,1,1,16,23.3,10.39,2514.4,0.08,56,0.1,139.69,17,39,9,11,17,1
1,0,1,1,1,1,10,21.06,8.36,1470.86,0.06,44,0.12,81.71,13,31,7,9,10,0
